vehicle_id,lane,frame,timestamp_sec
1,1,0,0.00
2,2,0,0.00
3,1,0,0.00
4,1,0,0.00
5,1,0,0.00
14,1,11,0.37
50,1,33,1.10
51,3,37,1.23
18,2,43,1.43
65,1,50,1.67
80,1,63,2.10
50,2,68,2.27
89,3,82,2.73
100,2,95,3.17
106,2,105,3.50
115,2,121,4.03
116,1,122,4.07
116,2,124,4.13
124,1,133,4.43
136,1,141,4.70
138,1,143,4.77
142,2,147,4.90
138,2,150,5.00
145,2,155,5.17
148,1,161,5.37
148,2,182,6.07
183,1,186,6.20
190,1,191,6.37
209,2,205,6.83
212,1,206,6.87
232,1,238,7.93
244,2,246,8.20
212,2,248,8.27
254,1,254,8.47
264,1,258,8.60
265,2,258,8.60
275,2,263,8.77
282,1,268,8.93
289,2,272,9.07
292,1,274,9.13
303,2,282,9.40
306,1,287,9.57
307,1,292,9.73
244,1,311,10.37
282,2,322,10.73
333,1,323,10.77
338,2,326,10.87
348,1,338,11.27
384,2,361,12.03
333,2,367,12.23
400,1,372,12.40
409,1,378,12.60
437,1,413,13.77
439,2,416,13.87
443,1,424,14.13
475,1,451,15.03
486,1,462,15.40
496,1,474,15.80
503,2,483,16.10
512,1,494,16.47
527,1,504,16.80
528,1,504,16.80
543,1,514,17.13
546,1,516,17.20
512,2,517,17.23
556,1,523,17.43
572,1,536,17.87
575,1,539,17.97
581,1,549,18.30
582,1,550,18.33
595,1,560,18.67
599,2,568,18.93
601,2,571,19.03
604,1,573,19.10
609,1,579,19.30
581,2,581,19.37
619,1,590,19.67
633,1,601,20.03
644,1,616,20.53
647,1,629,20.97
659,2,636,21.20
644,2,639,21.30
666,2,639,21.30
673,1,644,21.47
682,1,657,21.90
692,2,663,22.10
706,1,680,22.67
717,2,700,23.33
738,1,721,24.03
746,1,724,24.13
749,2,726,24.20
706,2,731,24.37
754,2,731,24.37
757,2,733,24.43
786,1,758,25.27
787,1,759,25.30
797,1,767,25.57
746,2,773,25.77
811,2,777,25.90
817,1,781,26.03
821,1,782,26.07
831,2,798,26.60
833,1,799,26.63
838,2,803,26.77
840,1,804,26.80
846,1,806,26.87
854,2,818,27.27
858,1,821,27.37
859,1,822,27.40
864,1,830,27.67
866,2,835,27.83
869,1,836,27.87
877,3,842,28.07
880,2,845,28.17
821,2,848,28.27
831,1,865,28.83
898,1,874,29.13
903,2,888,29.60
906,2,889,29.63
909,2,890,29.67
914,2,895,29.83
916,2,898,29.93
917,1,900,30.00
919,2,905,30.17
923,1,909,30.30
925,2,912,30.40
898,2,913,30.43
926,2,917,30.57
923,2,942,31.40
939,2,946,31.53
945,1,951,31.70
947,1,954,31.80
967,3,976,32.53
990,1,993,33.10
994,2,1009,33.63
999,2,1012,33.73
1011,1,1018,33.93
1016,2,1021,34.03
1026,1,1031,34.37
1034,2,1035,34.50
1037,3,1037,34.57
1039,1,1038,34.60
1046,2,1044,34.80
1058,1,1053,35.10
1084,1,1066,35.53
1086,1,1068,35.60
1111,1,1082,36.07
1144,1,1094,36.47
1159,1,1102,36.73
1165,1,1106,36.87
1168,1,1110,37.00
1173,1,1114,37.13
1178,1,1119,37.30
1180,1,1121,37.37
1182,2,1125,37.50
1189,1,1131,37.70
1190,2,1131,37.70
1194,2,1133,37.77
1214,2,1149,38.30
1215,1,1149,38.30
1219,2,1153,38.43
1220,1,1157,38.57
1222,1,1161,38.70
1226,2,1169,38.97
1254,1,1189,39.63
1258,3,1191,39.70
1262,2,1193,39.77
1264,1,1195,39.83
1266,2,1198,39.93
1272,1,1204,40.13
1276,2,1212,40.40
1278,1,1213,40.43
1281,2,1215,40.50
1286,2,1217,40.57
1288,2,1223,40.77
1289,2,1224,40.80
1293,2,1228,40.93
1301,2,1233,41.10
1306,2,1247,41.57
1320,1,1280,42.67
1321,2,1281,42.70
1328,2,1297,43.23
